LANGUAGE,English,German,Russian,French

//Factions
STR_KPFS_FACTION_BELGIUM,"Belgium","Belgien","Бельгия","Belgique"
STR_KPFS_FACTION_DENMARK,"Denmark","Dänemark","Дания","Danemark"
STR_KPFS_FACTION_FINLAND,"Finland","Finnland","Финляндия","Finlande"
STR_KPFS_FACTION_FRANCE,"France","Frankreich","Франция","France"
STR_KPFS_FACTION_GREECE,"Greece","Griechenland","Греция","Grèce"
STR_KPFS_FACTION_ITALY,"Italy","Italien","Италия","Italie"
STR_KPFS_FACTION_IRELAND,"Ireland","Irland","Ирландия","Irlande"
STR_KPFS_FACTION_LUXEMBURG,"Luxembourg","Luxemburg","Люксембург","Luxembourg"
STR_KPFS_FACTION_NETHERLANDS,"Netherlands","Niederlande","Нидерланды","Pays-Bas"
STR_KPFS_FACTION_NORWAY,"Norway","Norwegen","Норвегия","Norvège"
STR_KPFS_FACTION_PORTUGAL,"Portugal","Portugal","Португалия","Portugal"
STR_KPFS_FACTION_SPAIN,"Spain","Spain","Испания","Espagne"
STR_KPFS_FACTION_SWEDEN,"Sweden","Schweden","Швеция","Suède"
STR_KPFS_FACTION_TURKEY,"Turkey","Türkei","Турция","Turquie"
STR_KPFS_FACTION_UK,"United Kingdom","Vereinigtes Königreich","Великобритания","Royaume-Uni"

STR_KPFS_FACTION_USSR,"Soviet Union","Sowjetunion","СССР","Union soviétique"
STR_KPFS_FACTION_PR_POLAND,"PR Poland","VR Polen","Польская НР","RP de Pologne"
STR_KPFS_FACTION_PR_HUNGARY,"PR Hungary","VR Ungarn","Венгерская НР","RP de Hongrie"
STR_KPFS_FACTION_PR_ALBANIA,"PR Albania","VR Albanien","НСР Албания","RPS d'Albanie"
STR_KPFS_FACTION_PR_BULGARIA,"PR Bulgaria","VR Bulgarien","НР Болгария","RP de Bulgarie"
STR_KPFS_FACTION_PR_ROMANIA,"PR Romania","VR Rumänien","СР Румыния","RS de Roumanie"
STR_KPFS_FACTION_CSSR,"Czechoslovakia","CSSR","ЧССР","RS Tchécoslovaquie"

STR_KPFS_FACTION_RUSSIA,"Russia","Russland","Россия","Russie"
STR_KPFS_FACTION_UKRAINE,"Ukraine","Ukraine","Украина","Ukraine"
STR_KPFS_FACTION_BELARUS,"Belarus","Weißrussland","Белоруссия","Biélorussie"
STR_KPFS_FACTION_MOLDAVIA,"Moldavia","Moldawien","Молдавия","Moldave"
STR_KPFS_FACTION_ESTONIA,"Estonia","Estland","Эстония","Estonie"
STR_KPFS_FACTION_LITHUANIA,"Lithuania","Litauen","Литва","Lituanie"
STR_KPFS_FACTION_LATVIA,"Latvia","Lettland","Латвия","Lettonie"
